file,line,scenario,status,test_outcome,duration_ms,attempts,evidence_scope
governance-revocation.spec.ts,36,US-SP-POL-REVOKE-BLACKLIST group wildcard cannot override direct denial and clearing denial restores the same signed session,passed,expected,3634,1,exact assertions in test script
governance-revocation.spec.ts,50,US-SP-POL-REVOKE-LEVELS user elevated and admin choices persist while only explicit admin can administer policy,passed,expected,5556,1,exact assertions in test script
governance-revocation.spec.ts,65,US-SP-GOV-REQUESTER-STATUS retained requester sees pending approved rejected while another account cannot read or decide those requests,passed,expected,8938,1,exact assertions in test script
governance-runtime.spec.ts,15,US-SP-POL-RUNTIME-autoapprove actual model decision allows actual tool effect,passed,expected,2435,1,exact assertions in test script
governance-runtime.spec.ts,15,US-SP-POL-RUNTIME-autodeny actual model decision blocks actual tool effect,passed,expected,1776,1,exact assertions in test script
governance-runtime.spec.ts,20,US-SP-POL-RUNTIME-manualapprove parked action waits for real frontend once decision,passed,expected,2935,1,exact assertions in test script
governance-runtime.spec.ts,20,US-SP-POL-RUNTIME-manualdeny parked action waits for real frontend deny decision,passed,expected,2653,1,exact assertions in test script
governance-runtime.spec.ts,20,US-SP-POL-RUNTIME-automanual parked action waits for real frontend once decision,passed,expected,2503,1,exact assertions in test script
kanban-administration.spec.ts,57,US-SP-KAN-ADMIN-BOARDS create validate cancel rename switch archive persist with denied administration,passed,expected,6128,1,exact assertions in test script
kanban-administration.spec.ts,89,US-SP-KAN-ADMIN-DEPENDENCIES add remove reject cycles and guard direct completion until parent finishes,passed,expected,8063,1,exact assertions in test script
kanban-administration.spec.ts,114,US-SP-KAN-ADMIN-FILTERS exact assignee tenant mine lanes selected bulk completion and dispatcher preview,passed,expected,9006,1,exact assertions in test script
kanban-administration.spec.ts,150,US-SP-KAN-ADMIN-BLOCK Todo block unblock preserve reason dependency denial and repeated-block escalation,passed,expected,6517,1,exact assertions in test script
mobile-summary-panels.spec.ts,7,US-SP-UX-MOBILE approvals hamburger navigation allows actual main refresh control,passed,expected,1163,1,exact assertions in test script
mobile-summary-panels.spec.ts,7,US-SP-UX-MOBILE integrations hamburger navigation allows actual main refresh control,passed,expected,1173,1,exact assertions in test script
navigation.spec.ts,9,US-SP-CHAT-NAV chat opens through visible navigation,passed,expected,934,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-BOT-NAV profiles opens through visible navigation,passed,expected,833,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-PROJ-NAV projects opens through visible navigation,passed,expected,901,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-CRON-NAV tasks opens through visible navigation,passed,expected,899,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-SKILL-NAV skills opens through visible navigation,passed,expected,866,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-CONN-NAV integrations opens through visible navigation,passed,expected,909,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-GOV-NAV approvals opens through visible navigation,passed,expected,818,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-MEM-NAV memory opens through visible navigation,passed,expected,917,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-KAN-NAV kanban opens through visible navigation,passed,expected,834,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-WS-NAV workspaces opens through visible navigation,passed,expected,875,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-TODO-NAV todos opens through visible navigation,passed,expected,1019,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-INS-NAV insights opens through visible navigation,passed,expected,1004,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-LOG-NAV logs opens through visible navigation,passed,expected,1127,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-GOV-NAV governance opens through visible navigation,passed,expected,884,1,navigation/tab reachability
navigation.spec.ts,9,US-SP-PREF-NAV settings opens through visible navigation,passed,expected,906,1,navigation/tab reachability
navigation.spec.ts,13,US-SP-GOV-TAB-overview governance overview tab opens and renders,passed,expected,1104,1,navigation/tab reachability
navigation.spec.ts,13,US-SP-GOV-TAB-users governance users tab opens and renders,passed,expected,1151,1,navigation/tab reachability
navigation.spec.ts,13,US-SP-GOV-TAB-groups governance groups tab opens and renders,passed,expected,1150,1,navigation/tab reachability
navigation.spec.ts,13,US-SP-GOV-TAB-workspaces governance workspaces tab opens and renders,passed,expected,1186,1,navigation/tab reachability
navigation.spec.ts,13,US-SP-GOV-TAB-approvals governance approvals tab opens and renders,passed,expected,1234,1,navigation/tab reachability
navigation.spec.ts,13,US-SP-GOV-TAB-integrations governance integrations tab opens and renders,passed,expected,1070,1,navigation/tab reachability
navigation.spec.ts,13,US-SP-GOV-TAB-preview governance preview tab opens and renders,passed,expected,1022,1,navigation/tab reachability
navigation.spec.ts,13,US-SP-GOV-TAB-audit governance audit tab opens and renders,passed,expected,1070,1,navigation/tab reachability
navigation.spec.ts,18,US-SP-PREF-TAB-appearance settings appearance renders,passed,expected,1171,1,navigation/tab reachability
navigation.spec.ts,18,US-SP-PREF-TAB-preferences settings preferences renders,passed,expected,1152,1,navigation/tab reachability
navigation.spec.ts,18,US-SP-PREF-TAB-providers settings providers renders,passed,expected,1220,1,navigation/tab reachability
navigation.spec.ts,18,US-SP-PREF-TAB-plugins settings plugins renders,passed,expected,1197,1,navigation/tab reachability
navigation.spec.ts,18,US-SP-PREF-TAB-extensions settings extensions renders,passed,expected,1103,1,navigation/tab reachability
navigation.spec.ts,18,US-SP-PREF-TAB-system settings system renders,passed,expected,1152,1,navigation/tab reachability
navigation.spec.ts,18,US-SP-PREF-TAB-help settings help renders,passed,expected,1055,1,navigation/tab reachability
preferences-behavior.spec.ts,19,US-SP-PREF-BEHAVIOR-SEARCH search selects actual setting and clears stale results,passed,expected,3034,1,exact assertions in test script
preferences-behavior.spec.ts,36,US-SP-PREF-BEHAVIOR-LANGUAGE German selection translates visible interface then restores English,passed,expected,2170,1,exact assertions in test script
preferences-behavior.spec.ts,50,US-SP-PREF-BEHAVIOR-EMPTY suggestions and entire welcome panel hide independently and survive reload,passed,expected,8022,1,exact assertions in test script
preferences-behavior.spec.ts,74,US-SP-PREF-BEHAVIOR-TODOS workspace preference controls actual tab while sidebar remains usable,passed,expected,4754,1,exact assertions in test script
realtime-voice.spec.ts,102,US-SP-VOICE-REALTIME-TURNS native speech answers two turns without submitting chat or replacing draft,passed,expected,3082,1,exact assertions in test script
realtime-voice.spec.ts,127,US-SP-VOICE-REALTIME-BACKGROUND native dispatch performs real file write once and preserves ongoing conversation,passed,expected,15300,1,exact assertions in test script
realtime-voice.spec.ts,149,US-SP-VOICE-REALTIME-END ending call leaves a real engine task running to completion,passed,expected,7265,1,exact assertions in test script
realtime-voice.spec.ts,158,US-SP-VOICE-REALTIME-ONCE governed native action waits for exact child approval while voice stays open,passed,expected,3788,1,exact assertions in test script
realtime-voice.spec.ts,158,US-SP-VOICE-REALTIME-DENY governed native action waits for exact child approval while voice stays open,passed,expected,3717,1,exact assertions in test script
realtime-voice.spec.ts,181,US-SP-VOICE-REALTIME-AUTOAPPROVE native tool effect follows the user's real AI review decision,passed,expected,4203,1,exact assertions in test script
realtime-voice.spec.ts,181,US-SP-VOICE-REALTIME-AUTODENY native tool effect follows the user's real AI review decision,passed,expected,3144,1,exact assertions in test script
realtime-voice.spec.ts,198,"US-SP-VOICE-REALTIME-CONTROLS microphone, push to talk, interruption and session change release capture correctly",passed,expected,3092,1,exact assertions in test script
realtime-voice.spec.ts,221,US-SP-VOICE-REALTIME-MIC-DENIED microphone refusal fails without creating a provider call,passed,expected,1223,1,exact assertions in test script
realtime-voice.spec.ts,228,US-SP-VOICE-REALTIME-REMOTE-END removed server call stops browser microphone capture,passed,expected,1612,1,exact assertions in test script
realtime-voice.spec.ts,237,US-SP-VOICE-REALTIME-LAUNCH-RACE canceled capability response cannot release a newer pending launch,passed,expected,1405,1,exact assertions in test script
realtime-voice.spec.ts,265,US-SP-VOICE-REALTIME-CHAT native chat mode executes actual engine work and status tool,passed,expected,4615,1,exact assertions in test script
realtime-voice.spec.ts,265,US-SP-VOICE-REALTIME-SUBAGENTS native subagents mode executes actual engine work and status tool,passed,expected,5211,1,exact assertions in test script
realtime-voice.spec.ts,287,US-SP-VOICE-REALTIME-IDLE result speech waits until native audio playback is finished,passed,expected,9850,1,exact assertions in test script
realtime-voice.spec.ts,304,US-SP-VOICE-REALTIME-SLOW-SUBAGENTS idle parent remains running until delayed actual children and their continuation finish,passed,expected,14477,1,exact assertions in test script
realtime-voice.spec.ts,330,US-SP-VOICE-REALTIME-CONTINUATION original signed SSO restriction survives actual child completion and parent wakeup,passed,expected,19310,1,exact assertions in test script
recovery-navigation.spec.ts,5,US-SP-NAV-PANEL-CLICKS rail labels and workspace edge toggle preserve draft and workspace default survives reload,passed,expected,4926,1,navigation/tab reachability
recovery-navigation.spec.ts,40,US-SP-LOG-CLIPBOARD-CLICKS copy exact visible severity lines and refresh reads appended disk evidence,passed,expected,1658,1,navigation/tab reachability
resource-security.spec.ts,3,US-SP-POL-RESOURCE resource denials saved in frontend block real named skill settings and model API bypasses,passed,expected,3454,1,exact assertions in test script
scheduler-kanban-lifecycle.spec.ts,38,"US-SP-LIFECYCLE-CRON edit, cancel, duplicate, run locally, pause, resume and delete persist",passed,expected,12957,1,exact assertions in test script
scheduler-kanban-lifecycle.spec.ts,123,"US-SP-LIFECYCLE-KAN edit, comment, complete, archive and restore survive reload",passed,expected,6107,1,exact assertions in test script
scheduler-kanban-lifecycle.spec.ts,215,US-SP-LIFECYCLE-KAN-DEFECT visible Done action must complete an existing Todo task,passed,expected,1735,1,exact assertions in test script
session-discovery-share.spec.ts,16,US-SP-SESS-DISCOVERY rename Enter and Escape plus title content and URL search select persisted conversation,passed,expected,5722,1,exact assertions in test script
session-discovery-share.spec.ts,38,US-SP-SESS-ARCHIVE archive reload show archived and restore preserve authoritative transcript,passed,expected,4455,1,exact assertions in test script
session-discovery-share.spec.ts,52,US-SP-SESS-SHARE create public snapshot read anonymously cancel revoke then revoke invalidates public link,passed,expected,3598,1,exact assertions in test script
session-discovery-share.spec.ts,107,US-SP-SESS-SHARE-AUTH a readable group participant cannot publish or revoke its owners snapshot,passed,expected,2052,1,exact assertions in test script
session-lifecycle.spec.ts,5,US-SP-SESS-ACTIONS pin duplicate and delete operate on chosen persisted session,passed,expected,5049,1,exact assertions in test script
session-lifecycle.spec.ts,10,US-SP-SESS-EXPORT-JSON actual download includes persisted transcript,passed,expected,1386,1,exact assertions in test script
session-lifecycle.spec.ts,10,US-SP-SESS-EXPORT-HTML actual download includes persisted transcript,passed,expected,1525,1,exact assertions in test script
session-lifecycle.spec.ts,10,US-SP-SESS-EXPORT-Markdown actual download includes persisted transcript,passed,expected,1544,1,exact assertions in test script
session-lifecycle.spec.ts,13,US-SP-SESS-CLEAR clear cancel preserves messages and confirm clears persisted transcript,passed,expected,3096,1,exact assertions in test script
session-lifecycle.spec.ts,17,US-SP-UX-MOBILE drawer and chat mode remain reachable at 390px,passed,expected,1066,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-session_jump_buttons both switch states save and reload,passed,expected,2435,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-session_endless_scroll both switch states save and reload,passed,expected,2476,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-auto_scroll_follow both switch states save and reload,passed,expected,2524,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-render_user_markdown both switch states save and reload,passed,expected,2463,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-large_text_paste_as_attachment both switch states save and reload,passed,expected,2407,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-project_quick_create_buttons both switch states save and reload,passed,expected,2433,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-show_titlebar_profile both switch states save and reload,passed,expected,2404,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-worklog_details_expanded_default both switch states save and reload,passed,expected,2419,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-show_token_usage both switch states save and reload,passed,expected,2446,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-show_quota_chip both switch states save and reload,passed,expected,2472,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-show_conversation_outline both switch states save and reload,passed,expected,2456,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-show_tps both switch states save and reload,passed,expected,2439,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-fade_text_effect both switch states save and reload,passed,expected,2435,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-terminal_auto_expand_on_output both switch states save and reload,passed,expected,2477,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-show_busy_placeholder_hint both switch states save and reload,passed,expected,2467,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-rtl both switch states save and reload,passed,expected,2721,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-sound_enabled both switch states save and reload,passed,expected,2556,1,exact assertions in test script
settings-complete.spec.ts,23,US-SP-PREF-CONTROL-whats_new_summary_enabled both switch states save and reload,passed,expected,2533,1,exact assertions in test script
settings-complete.spec.ts,34,US-SP-PREF-ACTIVITY all activity display modes persist and timestamps toggle independently,passed,expected,3403,1,exact assertions in test script
settings-complete.spec.ts,46,US-SP-PREF-STRUCTURED JSON and YAML view choices and threshold persist,passed,expected,2925,1,exact assertions in test script
settings-complete.spec.ts,58,US-SP-AUTH-009 virtual authenticator registers signs in and removes an actual passkey,passed,expected,2540,1,exact assertions in test script
settings-complete.spec.ts,81,US-SP-PREF-SELECT-send_key every offered option saves and restores,passed,expected,2535,1,exact assertions in test script
settings-complete.spec.ts,81,US-SP-PREF-SELECT-sidebar_density every offered option saves and restores,passed,expected,2003,1,exact assertions in test script
settings-complete.spec.ts,81,US-SP-PREF-SELECT-default_message_mode every offered option saves and restores,passed,expected,2457,1,exact assertions in test script
settings-complete.spec.ts,81,US-SP-PREF-SELECT-auto_title_refresh_every every offered option saves and restores,passed,expected,2888,1,exact assertions in test script
settings-complete.spec.ts,88,US-SP-PREF-NUMBERS pinned limit and assistant display name save and reload,passed,expected,3369,1,exact assertions in test script
settings-complete.spec.ts,96,US-SP-PREF-TAB-CHIPS each configurable navigation chip hides and restores its panel,passed,expected,13982,1,exact assertions in test script
settings-complete.spec.ts,112,US-SP-PREF-COMPOSER-CHIPS every footer visibility chip saves both states,passed,expected,8244,1,exact assertions in test script
system-configuration.spec.ts,29,US-SP-SYSTEM-CAPACITY four capacity controls save reload sanitize and refuse an ungranted identity,passed,expected,1488,1,exact assertions in test script
system-configuration.spec.ts,45,US-SP-SYSTEM-DASHBOARD all legacy dashboard modes save loopback URL reload and reject ungranted write,passed,expected,3165,1,exact assertions in test script
system-configuration.spec.ts,63,US-SP-SYSTEM-MCP configured local server toggles persist and empty tool search and every page size remain honest,passed,expected,2676,1,exact assertions in test script
system-configuration.spec.ts,80,US-SP-SYSTEM-AUX-SLOTS every actual auxiliary slot saves chosen local provider model and reset cancellation preserves assignments,passed,expected,4370,1,exact assertions in test script
system-configuration.spec.ts,94,US-SP-SYSTEM-AUX-ADVANCED real modal validates JSON saves all fields hides synthetic key and clears or cancels precisely,passed,expected,3241,1,exact assertions in test script
system-configuration.spec.ts,107,US-SP-SYSTEM-MAIN-ADVANCED main model options cancel and save persist without changing loopback provider pair,passed,expected,2292,1,exact assertions in test script
system-configuration.spec.ts,116,US-SP-SYSTEM-PLUGIN local dashboard plugin toggle page sandbox and disabled routes persist with negative checks,passed,expected,3173,1,exact assertions in test script
system-configuration.spec.ts,147,US-SP-SYSTEM-PROVIDER actual self-hosted connection test save and inference use only the loopback provider,passed,expected,3251,1,exact assertions in test script
tool-result-status.spec.ts,19,US-SP-CHAT-TOOL-STATUS successful writes and reads of error-looking content remain successful after reload,passed,expected,4967,1,exact assertions in test script
workflows.spec.ts,4,"US-SP-BOT-001 wizard validates, preserves draft back navigation and creates real bot",passed,expected,1257,1,exact assertions in test script
workflows.spec.ts,14,"US-SP-BOT-004 six editor tabs, keyboard navigation, and save from instructions preserve real configuration",passed,expected,1544,1,exact assertions in test script
workflows.spec.ts,21,US-SP-KNOW-001 upload does not select; explicit selection saves and survives editor reopen,passed,expected,1117,1,exact assertions in test script
workflows.spec.ts,28,"US-SP-PROJ-001 create project, configure people and bots, upload file, reopen membership",passed,expected,1842,1,exact assertions in test script
workflows.spec.ts,34,"US-SP-MEM-001 personal memory edits persist, cancel preserves previous value",passed,expected,1319,1,exact assertions in test script
workflows.spec.ts,39,US-SP-SKILL-001 create real skill and filter list without changing stored content,passed,expected,965,1,exact assertions in test script
workflows.spec.ts,43,US-SP-WS-001 invalid workspace rejected; valid child added and renamed,passed,expected,1133,1,exact assertions in test script
workflows.spec.ts,47,"US-SP-CRON-001 creates local scheduled task, reads persisted config and pauses",passed,expected,1195,1,exact assertions in test script
workflows.spec.ts,50,"US-SP-KAN-001 creates unassigned Triage task, opens detail and filters list",passed,expected,985,1,exact assertions in test script
workspace-governance.spec.ts,15,US-SP-WS-OWNERSHIP owner member fields normalize persist and per-user lens add remove clear preserves ownership,passed,expected,3135,1,exact assertions in test script
workspace-governance.spec.ts,27,US-SP-WS-REVOKE removing workspace membership blocks retained session file reads and fresh activation despite role ceiling,passed,expected,4551,1,exact assertions in test script
workspace-governance.spec.ts,43,US-SP-WS-FOREIGN named policy ceiling cannot expose or activate an owned workspace without membership,passed,expected,2250,1,exact assertions in test script
workspace-governance.spec.ts,54,US-SP-WS-RUNTIME revoking workspace member while real write awaits approval blocks engine effect after Allow once,passed,expected,13088,1,exact assertions in test script
