story_id,feature_area,persona,user_story,frontend_steps,expected_persisted_result,permission_negative_path,test_requirements,priority,current_status,inventory_basis,source_reference,current_candidate_commit,planned_test_reference,current_execution_evidence,gap_or_blocker
US-SP-CHAT-001,"Composer, responses and runtime",authorized chat user,"As an authorized chat user, I want to start a new conversation.",Click New chat; choose a permitted bot; type a unique prompt; click Send.,One conversation and user turn persist; the selected bot produces the expected deterministic answer.,"Without chat, profile, model or tool access the server denies the action and no protected provider/tool dispatch occurs.",REAL_BROWSER; DETERMINISTIC_PROVIDER; RELOAD; NEGATIVE_SERVER,P1,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/messages.js; static/commands.js; static/index.html; chat-experience-v2/browser_qa.cjs,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/chat.spec.ts:3,"PASS subset [20260909-080212-676633000]: US-SP-CHAT-001 real composer dispatches through real engine and deterministic provider, persists reload; Rendered new conversation and composer dispatch through actual engine to deterministic provider; exact assistant marker persists via API and reload. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).",Remaining story-specific lifecycle/renderer assertions and direct denied-dispatch probes; successful dispatch alone does not establish the role/profile/model/tool negative path.
US-SP-CHAT-002,"Composer, responses and runtime",authorized chat user,"As an authorized chat user, I want to switch Chat and Super agent modes.",Click each mode control; send a distinct prompt in each; reload.,The chosen mode persists and the engine uses its appropriate tool surface.,"Without chat, profile, model or tool access the server denies the action and no protected provider/tool dispatch occurs.",REAL_BROWSER; DETERMINISTIC_PROVIDER; RELOAD; NEGATIVE_SERVER,P1,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/messages.js; static/commands.js; static/index.html; chat-experience-v2/browser_qa.cjs,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/chat.spec.ts:10,PASS subset [20260909-080212-676633000]: US-SP-CHAT-002 modes change through header and survive reload; Chat and Super modes save to session and normal mode survives reload. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).,Remaining story-specific lifecycle/renderer assertions and direct denied-dispatch probes; successful dispatch alone does not establish the role/profile/model/tool negative path.
US-SP-CHAT-003,"Composer, responses and runtime",authorized chat user,"As an authorized chat user, I want to preserve model and provider together.",Choose a permitted model/provider pair; create a chat; send; reload.,The exact pair remains in the UI and actual worker request.,"Without chat, profile, model or tool access the server denies the action and no protected provider/tool dispatch occurs.",REAL_BROWSER; DETERMINISTIC_PROVIDER; RELOAD; NEGATIVE_SERVER,P1,NOT RUN,HISTORICAL_SOURCE_DERIVED,static/messages.js; static/commands.js; static/index.html; chat-experience-v2/browser_qa.cjs,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,NOT YET MAPPED TO EXECUTED FRONTEND CASE,NONE: no semantically matching actual frontend assertion found in current isolated run reports.,"LOCALLY MISSING: verify current exposure/contract and implement the stated real-browser workflow, fixture and negative path. Historical provenance alone does not establish current availability."
US-SP-CHAT-004,"Composer, responses and runtime",authorized chat user,"As an authorized chat user, I want to use the configured send shortcut.",Set each send-key preference; type multiline text; exercise send/newline keys.,The action happens once and stored text preserves intended line breaks.,A disabled composer cannot submit through keyboard.,REAL_BROWSER; KEYBOARD; RELOAD,P1,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/messages.js; static/commands.js; static/index.html; chat-experience-v2/browser_qa.cjs,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/chat.spec.ts:16 | test-kit/tests/e2e/full/settings-complete.spec.ts:81,PASS subset [20260909-080212-676633000]: US-SP-CHAT-004 Shift Enter inserts newline without sending; Shift+Enter inserts newline while actual persisted message list remains empty; other send-key permutations remain. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID). | PASS subset [20260909-080212-676633000]: US-SP-PREF-SELECT-send_key every offered option saves and restores; Every offered send_key option saves and original choice reloads; actual downstream behavior remains. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).,Remaining story-specific lifecycle/renderer assertions and direct denied-dispatch probes; successful dispatch alone does not establish the role/profile/model/tool negative path.
US-SP-CHAT-005,"Composer, responses and runtime",authorized chat user,"As an authorized chat user, I want to prevent duplicate sending.",Double-click Send and press the send key during a delayed submit response.,Only one logical message/turn is stored and busy state is truthful.,"Without chat, profile, model or tool access the server denies the action and no protected provider/tool dispatch occurs.",REAL_BROWSER; DETERMINISTIC_PROVIDER; RELOAD; NEGATIVE_SERVER,P1,NOT RUN,HISTORICAL_SOURCE_DERIVED,static/messages.js; static/commands.js; static/index.html; chat-experience-v2/browser_qa.cjs,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,NOT YET MAPPED TO EXECUTED FRONTEND CASE,NONE: no semantically matching actual frontend assertion found in current isolated run reports.,"LOCALLY MISSING: verify current exposure/contract and implement the stated real-browser workflow, fixture and negative path. Historical provenance alone does not establish current availability."
US-SP-CHAT-006,"Composer, responses and runtime",authorized chat user,"As an authorized chat user, I want to queue a follow-up while busy.",Start a delayed response; choose Queue follow-up; submit another prompt; finish the first.,The follow-up executes in order with no lost draft or duplicate user message.,"Without chat, profile, model or tool access the server denies the action and no protected provider/tool dispatch occurs.",REAL_BROWSER; DETERMINISTIC_PROVIDER; RELOAD; NEGATIVE_SERVER,P1,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/messages.js; static/commands.js; static/index.html; chat-experience-v2/browser_qa.cjs,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/chat-lifecycle.spec.ts:5,"PASS subset [20260909-080212-676633000]: US-SP-CHAT-006 queue follow-up waits then produces two persisted ordered turns; Actual queued follow-up waits for the first run, then exactly two ordered turns persist and the queue clears. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).",Remaining story-specific lifecycle/renderer assertions and direct denied-dispatch probes; successful dispatch alone does not establish the role/profile/model/tool negative path.
US-SP-CHAT-007,"Composer, responses and runtime",authorized chat user,"As an authorized chat user, I want to steer a running turn.",Start a delayed response; choose Steer; submit a correction; complete the run.,The correction reaches the active run and the stored transcript matches the supported lifecycle.,"Without chat, profile, model or tool access the server denies the action and no protected provider/tool dispatch occurs.",REAL_BROWSER; DETERMINISTIC_PROVIDER; RELOAD; NEGATIVE_SERVER,P1,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/messages.js; static/commands.js; static/index.html; chat-experience-v2/browser_qa.cjs,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/chat-lifecycle.spec.ts:20,PASS subset [20260909-080212-676633000]: US-SP-CHAT-007 actual steer accepted mid-turn influences next model iteration; Actual mid-run steer is accepted by the real endpoint and changes the next deterministic model iteration. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).,Remaining story-specific lifecycle/renderer assertions and direct denied-dispatch probes; successful dispatch alone does not establish the role/profile/model/tool negative path.
US-SP-CHAT-008,"Composer, responses and runtime",authorized chat user,"As an authorized chat user, I want to interrupt a running turn.",Start a delayed response; choose Interrupt; submit replacement instructions.,The first run is interrupted and its late events cannot overwrite the replacement.,"Without chat, profile, model or tool access the server denies the action and no protected provider/tool dispatch occurs.",REAL_BROWSER; DETERMINISTIC_PROVIDER; RELOAD; NEGATIVE_SERVER,P1,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/messages.js; static/commands.js; static/index.html; chat-experience-v2/browser_qa.cjs,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/chat-lifecycle.spec.ts:17,PASS subset [20260909-080212-676633000]: US-SP-CHAT-008 explicit interrupt cancels first response and starts requested next message; Actual interrupt cancels the first response and runs the replacement exactly once without losing its queued prompt. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).,Remaining story-specific lifecycle/renderer assertions and direct denied-dispatch probes; successful dispatch alone does not establish the role/profile/model/tool negative path.
US-SP-CHAT-009,"Composer, responses and runtime",authorized chat user,"As an authorized chat user, I want to stop an active response.",Start a streaming response; click Stop; wait; reload.,The stopped outcome survives reload; no invented completion or stuck composer remains.,"Without chat, profile, model or tool access the server denies the action and no protected provider/tool dispatch occurs.",REAL_BROWSER; DETERMINISTIC_PROVIDER; RELOAD; NEGATIVE_SERVER,P1,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/messages.js; static/commands.js; static/index.html; chat-experience-v2/browser_qa.cjs,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/chat-lifecycle.spec.ts:8,"PASS subset [20260909-080212-676633000]: US-SP-CHAT-009 Stop generation cancels in-flight run and accepts a fresh next turn; Stop cancels the actual active run, leaves no fabricated initial assistant completion and a fresh next turn succeeds. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).",Remaining story-specific lifecycle/renderer assertions and direct denied-dispatch probes; successful dispatch alone does not establish the role/profile/model/tool negative path.
US-SP-CHAT-010,"Composer, responses and runtime",authorized chat user,"As an authorized chat user, I want to retain a draft after send failure.",Type text and attach a fixture file; fail submit; retry after recovery.,Draft and attachment remain recoverable; retry stores one turn.,"Without chat, profile, model or tool access the server denies the action and no protected provider/tool dispatch occurs.",REAL_BROWSER; DETERMINISTIC_PROVIDER; RELOAD; NEGATIVE_SERVER,P1,NOT RUN,HISTORICAL_SOURCE_DERIVED,static/messages.js; static/commands.js; static/index.html; chat-experience-v2/browser_qa.cjs,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,NOT YET MAPPED TO EXECUTED FRONTEND CASE,NONE: no semantically matching actual frontend assertion found in current isolated run reports.,"LOCALLY MISSING: verify current exposure/contract and implement the stated real-browser workflow, fixture and negative path. Historical provenance alone does not establish current availability."
US-SP-CHAT-011,"Composer, responses and runtime",authorized chat user,"As an authorized chat user, I want to restore an unsent draft.",Type a unique draft; switch conversations; return; hard reload.,The draft restores only for its user/session and is not automatically submitted.,"Without chat, profile, model or tool access the server denies the action and no protected provider/tool dispatch occurs.",REAL_BROWSER; DETERMINISTIC_PROVIDER; RELOAD; NEGATIVE_SERVER,P1,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/messages.js; static/commands.js; static/index.html; chat-experience-v2/browser_qa.cjs,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/chat-lifecycle.spec.ts:14,PASS subset [20260909-080212-676633000]: US-SP-CHAT-011 persisted unsent draft survives hard reload without creating a turn; A unique unsent session draft survives hard reload without creating an actual turn; switching sessions and another account remain. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).,Remaining story-specific lifecycle/renderer assertions and direct denied-dispatch probes; successful dispatch alone does not establish the role/profile/model/tool negative path.
